IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
121996-09092019,09 Sep 2019,2019,19:21:36,19,Fire,Secondary Fire,,Outdoor Structure,Pipe or drain ,In street outside gazetteer location,TW7 5DG,TW7,1.00024E+11,21500294,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,515585,176481,515550,176450,51.47549927,-0.337072517,London,Heston,132,Heston,,,1,1,1,1,339,1
122078-09092019,09 Sep 2019,2019,22:34:09,22,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW8,0,21501753,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518550,177850,,,London,Chiswick,270,Chiswick,340,Acton,4,5,5,2,678,1
122085-09092019,09 Sep 2019,2019,22:52:49,22,False Alarm,AFA,,Non Residential,Warehouse ,Correct incident location,W4 4LD,W4,1.00024E+11,21590207,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,520096,178030,520050,178050,51.4884785,-0.2716151,London,Chiswick,424,Acton,,,1,1,1,1,339,1
122110-09092019,09 Sep 2019,2019,23:59:22,23,False Alarm,False alarm - Good intent,,Outdoor,Grassland/ pasture/ grazing etc ,In street close to gazetteer location,TW5 9RY,TW5,2.00004E+11,21501174,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,510753,178028,510750,178050,51.49036843,-0.406131168,London,Hayes,328,Feltham,,,1,1,1,1,339,1
122233-10092019,10 Sep 2019,2019,10:35:53,10,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,TW7 4SX,TW7,2.00004E+11,21590066,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,514862,176283,514850,176250,51.47386381,-0.347536474,London,Heston,231,Heston,247,Feltham,2,2,2,1,339,2
122252-10092019,10 Sep 2019,2019,11:27:20,11,False Alarm,AFA,,Non Residential,Warehouse ,Correct incident location,TW15 1BL,TW15,10093258508,21501367,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,508152,171919,508150,171950,51.4359584,-0.4454398,London,Feltham,450,Feltham,,,1,1,1,1,339,1
122455-10092019,10 Sep 2019,2019,20:12:23,20,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW8,0,21501753,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518550,177950,,,London,Chiswick,236,Chiswick,338,Acton,2,2,2,1,339,1
122532-10092019,10 Sep 2019,2019,23:43:59,23,Fire,Primary Fire,,Road Vehicle,Van ,In street outside gazetteer location,TW14 0EX,TW14,1.00022E+11,21500068,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,511061,174283,511050,174250,51.45664832,-0.402868595,London,Feltham,255,Feltham,,,1,1,1,1,339,3
122595-11092019,11 Sep 2019,2019,06:25:49,6,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,W4 4JA,W4,10001273178,21505353,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,520255,178485,520250,178450,51.49253473,-0.269178332,London,Chiswick,201,Chiswick,,,1,1,1,1,339,1
122645-11092019,11 Sep 2019,2019,09:18:18,9,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,TW7,0,21501119,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,514850,177050,,,London,Heston,486,Feltham,496,Erith,2,2,2,2,678,1
122718-11092019,11 Sep 2019,2019,12:27:55,12,False Alarm,AFA,,Non Residential,Warehouse ,Within same building,TW5 9QA,TW5,10093257472,21500315,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,511205,177600,511250,177650,51.48642764,-0.399755974,London,Feltham,339,Feltham,,,1,1,1,1,339,2
122720-11092019,11 Sep 2019,2019,12:29:24,12,Special Service,Special Service,No action (not false alarm),Non Residential,Hospital ,Within same building,TW7 6AF,TW7,2.00004E+11,21501137,E09000018,HOUNSLOW,Hounslow,E05013627,Syon & Brentford Lock,Syon & Brentford Lock,516468,176295,516450,176250,51.47364412,-0.324419418,London,Heston,265,Heston,,,1,1,1,1,339,2
122906-11092019,11 Sep 2019,2019,18:38:42,18,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,TW14 9QE,TW14,1.00022E+11,21501407,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,510091,173596,510050,173550,51.45065806,-0.417045328,London,Feltham,301,Feltham,,,1,1,1,1,339,1
122983-11092019,11 Sep 2019,2019,20:48:21,20,Special Service,Special Service,Making Safe (not RTC),Dwelling,House - single occupancy ,Within same building,,TW5,0,21501096,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,,,513150,176950,,,London,Heston,278,Heston,,,1,1,1,1,339,1
123110-12092019,12 Sep 2019,2019,06:48:35,6,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,TW3 3JS,TW3,1.00024E+11,21510540,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,513521,175566,513550,175550,51.4676906,-0.367069213,London,Heston,303,Heston,,,1,1,1,2,678,1
123251-12092019,12 Sep 2019,2019,13:12:19,13,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,TW13,0,21501456,E09000018,HOUNSLOW,Hounslow,E05013615,Hanworth Park,Hanworth Park,,,510850,173250,,,London,Feltham,340,Feltham,,,1,1,1,1,339,1
123265-12092019,12 Sep 2019,2019,13:52:33,13,False Alarm,AFA,,Non Residential,Purpose built office ,Within same building,TW3 3JB,TW3,10091692639,21510540,E09000018,HOUNSLOW,Hounslow,E05013624,Hounslow West,Hounslow West,513222,175482,513250,175450,51.46699246,-0.371396679,London,Heston,105,Heston,,,1,1,1,1,339,1
123312-12092019,12 Sep 2019,2019,15:57:41,15,False Alarm,AFA,,Non Residential,Church/Chapel ,Correct incident location,TW3 3DA,TW3,10093765858,21500083,E09000018,HOUNSLOW,Hounslow,E05013617,Heston Central,Heston Central,512526,175984,512550,175950,51.47164685,-0.381253335,London,Feltham,320,Heston,,,1,1,1,1,339,1
123541-13092019,13 Sep 2019,2019,00:43:28,0,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,,TW7,0,21500875,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,514250,177150,,,London,Heston,356,Heston,363,Heston,1,2,2,1,339,1
123671-13092019,13 Sep 2019,2019,08:14:51,8,Fire,Primary Fire,,Non Residential,Printing works,Correct incident location,TW4 6BL,TW4,2.00004E+11,21501316,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,511413,175054,511450,175050,51.46350215,-0.397559022,London,Feltham,248,Feltham,,,1,1,1,1,339,1
123675-13092019,13 Sep 2019,2019,08:22:43,8,False Alarm,AFA,,Non Residential,Library ,Correct incident location,W4 2AB,W4,2.00003E+11,21500371,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,520817,178397,520850,178350,51.49162323,-0.261114849,London,Chiswick,174,Chiswick,,,1,1,1,1,339,1
123704-13092019,13 Sep 2019,2019,09:50:04,9,Special Service,Special Service,Spills and Leaks (not RTC),Outdoor,Road surface/pavement ,In street close to gazetteer location,TW5 0HH,TW5,1.00022E+11,21500440,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,512853,178092,512850,178050,51.49052919,-0.375873512,London,Southall,337,Southall,,,1,1,1,1,339,1
123714-13092019,13 Sep 2019,2019,10:48:32,10,False Alarm,AFA,,Non Residential,Factory ,Correct incident location,TW14 0LW,TW14,2.00003E+11,21501321,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,510444,174899,510450,174850,51.46230359,-0.411556508,London,Feltham,163,Feltham,,,1,1,1,1,339,1
123776-13092019,13 Sep 2019,2019,12:13:36,12,False Alarm,AFA,,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,W4,0,21501074,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,519450,178250,,,London,Chiswick,164,Chiswick,,,1,1,1,1,339,1
123828-13092019,13 Sep 2019,2019,13:25:01,13,Special Service,Special Service,Assist other agencies,Dwelling,House - single occupancy ,Correct incident location,,W4,0,21500373,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,,,521050,178150,,,London,Chiswick,246,Chiswick,,,1,1,1,1,339,1
123838-13092019,13 Sep 2019,2019,13:41:58,13,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,TW4 5EU,TW4,10001271866,21500065,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,512699,174611,512650,174650,51.45926621,-0.379204378,London,Feltham,356,Heston,,,1,1,1,1,339,1
123928-13092019,13 Sep 2019,2019,17:21:04,17,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW5,0,21501151,E09000018,HOUNSLOW,Hounslow,E05013617,Heston Central,Heston Central,,,512550,177250,,,London,Heston,375,Feltham,423,Heston,2,2,2,1,339,1
123934-13092019,13 Sep 2019,2019,17:32:31,17,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street close to gazetteer location,TW5 9LL,TW5,1.00022E+11,21500139,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,511085,177428,511050,177450,51.48491243,-0.401531285,London,Feltham,521,Heathrow,,,1,1,1,1,339,2
123943-13092019,13 Sep 2019,2019,17:43:41,17,Special Service,Special Service,No action (not false alarm),Road Vehicle,Car ,On land associated with building,TW7 4RB,TW7,2.00004E+11,21500647,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,514530,178015,514550,178050,51.48950171,-0.351753999,London,Heston,167,Heston,,,1,1,1,1,339,2
123957-13092019,13 Sep 2019,2019,17:54:19,17,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W4,0,21501543,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,,,521050,178450,,,London,Chiswick,237,Chiswick,,,1,1,1,1,339,1
123970-13092019,13 Sep 2019,2019,18:20:45,18,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,TW5,0,21501175,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,,,510250,176550,,,London,Heathrow,375,Feltham,693,Heston,2,2,2,2,678,1
124099-13092019,13 Sep 2019,2019,21:41:06,21,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW8,0,21501753,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518450,177950,,,London,Chiswick,267,Chiswick,493,Heston,2,2,2,1,339,1
124198-14092019,14 Sep 2019,2019,03:21:37,3,Fire,Primary Fire,,Road Vehicle,Car ,In street close to gazetteer location,TW5 9RY,TW5,10093256976,21519806,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,510604,178095,510650,178050,51.49100141,-0.408250205,London,Hayes,431,Feltham,,,1,1,1,1,339,2
124212-14092019,14 Sep 2019,2019,04:15:03,4,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,TW4,0,21501057,E09000018,HOUNSLOW,Hounslow,E05013624,Hounslow West,Hounslow West,,,512450,175850,,,London,Feltham,423,Heston,440,Heston,1,2,2,1,339,1
124326-14092019,14 Sep 2019,2019,11:42:56,11,Fire,Secondary Fire,,Outdoor,Loose refuse ,Open land/water - nearest gazetteer location,TW5 9RY,TW5,1.00022E+11,21500257,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,510770,178083,510750,178050,51.49086016,-0.405870897,London,Hayes,357,Hayes,,,1,1,1,2,678,1
124362-14092019,14 Sep 2019,2019,13:00:46,13,Fire,Secondary Fire,,Outdoor,Scrub land ,Open land/water - nearest gazetteer location,TW14 9QE,TW14,1.00022E+11,21501407,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,510123,173600,510150,173650,51.45068716,-0.41657423,London,Feltham,931,Twickenham,,,1,1,1,1,339,2
124372-14092019,14 Sep 2019,2019,13:09:38,13,Special Service,Special Service,Flooding,Dwelling,Licensed House in Multiple Occupation - 3 or more storeys ,Within same building,,TW7,0,21500523,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,515150,176450,,,London,Heston,150,Heston,,,1,1,1,1,339,1
124450-14092019,14 Sep 2019,2019,15:10:00,15,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Within same building,,TW5,0,21501362,E09000018,HOUNSLOW,Hounslow,E05013618,Heston East,Heston East,,,513450,176850,,,London,Heston,391,Heston,,,1,1,1,1,339,1
124512-14092019,14 Sep 2019,2019,17:17:49,17,Fire,Primary Fire,,Non Residential,Young offenders unit ,Correct incident location,TW13 4ND,TW13,1.00023E+11,21509601,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,508800,172535,508850,172550,51.44137286,-0.435942423,London,Feltham,515,Twickenham,590,Twickenham,2,3,4,2,678,1
124531-14092019,14 Sep 2019,2019,17:38:47,17,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,TW4,0,21500507,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,,,511550,175050,,,London,Feltham,506,Heston,,,1,1,1,1,339,1
124582-14092019,14 Sep 2019,2019,18:51:56,18,Fire,Secondary Fire,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,TW13 5EA,TW13,1.00022E+11,21501145,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,511537,172908,511550,172950,51.44419442,-0.396449827,London,Feltham,175,Southall,,,1,1,1,1,339,5
124745-15092019,15 Sep 2019,2019,00:30:47,0,Fire,Primary Fire,,Road Vehicle,Motorcycle ,In street close to gazetteer location,TW13 6PN,TW13,10093258523,21520006,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,511448,171931,511450,171950,51.43543107,-0.398047913,London,Feltham,481,Feltham,,,1,1,1,1,339,1
124772-15092019,15 Sep 2019,2019,02:34:11,2,Fire,Primary Fire,,Outdoor Structure,Other outdoor structures ,On land associated with building,TW3 3RU,TW3,1.00022E+11,21500603,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,513451,175155,513450,175150,51.46401119,-0.368201634,London,Heston,341,Heston,,,1,1,1,1,339,2
124803-15092019,15 Sep 2019,2019,04:35:35,4,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,TW5 9RY,TW5,1.00022E+11,21500257,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,510720,178004,510750,178050,51.49015936,-0.406605409,London,Hayes,393,Feltham,,,1,1,1,1,339,2
124860-15092019,15 Sep 2019,2019,09:22:14,9,Special Service,Special Service,No action (not false alarm),Dwelling,House - single occupancy ,Correct incident location,,TW5,0,21500835,E09000018,HOUNSLOW,Hounslow,E05013617,Heston Central,Heston Central,,,512250,177150,,,London,Heston,477,Heston,,,1,1,1,1,339,1
124982-15092019,15 Sep 2019,2019,14:07:17,14,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Open land/water - nearest gazetteer location,TW3 2DP,TW3,1.00022E+11,21500747,E09000018,HOUNSLOW,Hounslow,E05013623,Hounslow South,Hounslow South,514226,175153,514250,175150,51.46383995,-0.357049482,London,Heston,359,Heston,,,1,1,1,1,339,1
124983-15092019,15 Sep 2019,2019,14:07:41,14,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,Correct incident location,TW7 7EH,TW7,10001272236,21500542,E09000018,HOUNSLOW,Hounslow,E05013623,Hounslow South,Hounslow South,514901,175360,514950,175350,51.46556005,-0.347276327,London,Heston,755,Feltham,,,1,1,1,1,339,1
125093-15092019,15 Sep 2019,2019,17:55:10,17,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,TW13,0,21501149,E09000018,HOUNSLOW,Hounslow,E05013614,Feltham West,Feltham West,,,510050,172350,,,London,Feltham,372,Feltham,376,Feltham,1,2,2,1,339,2
125095-15092019,15 Sep 2019,2019,17:56:13,17,Special Service,Special Service,Animal assistance incidents,Outdoor,Park ,Open land/water - nearest gazetteer location,W4 2SH,W4,10025176373,21590226,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,521402,176552,521450,176550,51.474916,-0.253325934,London,Chiswick,486,Chiswick,,,1,1,1,1,339,1
125123-15092019,15 Sep 2019,2019,18:44:13,18,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21501320,E09000018,HOUNSLOW,Hounslow,E05013620,Hounslow Central,Hounslow Central,,,513950,176450,,,London,Heston,245,Heston,265,Heston,1,2,2,2,678,1
125235-15092019,15 Sep 2019,2019,21:29:43,21,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,TW8,0,21500443,E09000018,HOUNSLOW,Hounslow,E05013627,Syon & Brentford Lock,Syon & Brentford Lock,,,518050,177550,,,London,Chiswick,,,,,1,1,1,1,339,1
125355-16092019,16 Sep 2019,2019,07:38:56,7,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW7,0,21503006,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,514850,177050,,,London,Heston,210,Heston,223,Heston,1,2,2,3,1017,1
125363-16092019,16 Sep 2019,2019,08:00:43,8,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,0,21500896,E09000018,HOUNSLOW,Hounslow,E05013620,Hounslow Central,Hounslow Central,,,513950,175850,,,London,Heston,543,Feltham,,,1,1,1,1,339,1
125434-16092019,16 Sep 2019,2019,11:42:50,11,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,TW8,0,21500485,E09000018,HOUNSLOW,Hounslow,E05013608,Brentford West,Brentford West,,,517450,178050,,,London,Chiswick,354,Chiswick,394,Heston,2,2,2,1,339,1
125472-16092019,16 Sep 2019,2019,13:34:01,13,False Alarm,False alarm - Good intent,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,UB2 5SW,UB2,1.00022E+11,21500943,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,512362,178148,512350,178150,51.4911273,-0.382921511,London,Southall,377,Southall,404,Heston,2,2,2,1,339,1
125475-16092019,16 Sep 2019,2019,13:47:23,13,Fire,Secondary Fire,,Outdoor,Cycle path/public footpath/bridleway ,On land associated with building,UB2 5RX,UB2,1.00022E+11,21500873,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,512519,178532,512550,178550,51.49455046,-0.380539779,London,Southall,71,Southall,,,1,1,1,1,339,1
125658-16092019,16 Sep 2019,2019,21:03:17,21,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,TW5 9QQ,TW5,10091691505,21500083,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,510344,176911,510350,176950,51.4804098,-0.41237109,London,Heathrow,264,Feltham,,,1,1,1,1,339,1
125663-16092019,16 Sep 2019,2019,21:12:23,21,False Alarm,AFA,,Non Residential,Purpose built office ,Within same building,TW8 9GS,TW8,2.00004E+11,21505052,E09000018,HOUNSLOW,Hounslow,E05013608,Brentford West,Brentford West,517041,177984,517050,177950,51.48870604,-0.315617285,London,Heston,320,Heston,,,1,1,1,1,339,1
125773-16092019,16 Sep 2019,2019,22:54:49,22,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW8,0,21501753,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,,,518550,177850,,,London,Chiswick,315,Chiswick,326,Heston,4,5,5,3,1017,1
125788-17092019,17 Sep 2019,2019,00:42:07,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,TW3 1SE,TW3,1.00022E+11,21519758,E09000018,HOUNSLOW,Hounslow,E05013621,Hounslow East,Hounslow East,514528,175965,514550,175950,51.471075,-0.352453447,London,Heston,207,Heston,,,1,1,1,1,339,1
125802-17092019,17 Sep 2019,2019,01:39:09,1,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,TW13 6AH,TW13,1.00023E+11,21500550,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,512108,172549,512150,172550,51.4408586,-0.388353148,London,Feltham,300,Feltham,,,1,1,1,1,339,1
125938-17092019,17 Sep 2019,2019,10:57:37,10,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,TW5 0DP,TW5,1.00022E+11,21501151,E09000018,HOUNSLOW,Hounslow,E05013617,Heston Central,Heston Central,512457,177074,512450,177050,51.48145431,-0.381902423,London,Heston,521,Heston,,,1,1,1,1,339,1
125939-17092019,17 Sep 2019,2019,11:10:46,11,Special Service,Special Service,Animal assistance incidents,Outdoor Structure,Bridge,In street outside gazetteer location,W4 1LR,W4,1.00023E+11,21501135,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,521212,178797,521250,178750,51.49513367,-0.255293677,London,Chiswick,469,Hammersmith,,,1,1,1,1,339,1
126055-17092019,17 Sep 2019,2019,14:44:38,14,Special Service,Special Service,Effecting entry/exit,Dwelling,Bungalow - single occupancy ,Correct incident location,,TW14,0,21500828,E09000018,HOUNSLOW,Hounslow,E05013606,Bedfont,Bedfont,,,509450,173350,,,London,Feltham,825,Heston,,,1,1,1,1,339,2
126057-17092019,17 Sep 2019,2019,14:47:31,14,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW7,0,21501437,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,,,514850,176750,,,London,Heston,404,Ealing,,,1,1,1,1,339,1
126206-17092019,17 Sep 2019,2019,18:39:48,18,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,TW8 0LS,TW8,1.00022E+11,21500173,E09000018,HOUNSLOW,Hounslow,E05013607,Brentford East,Brentford East,518023,178044,518050,178050,51.48903735,-0.301451324,London,Chiswick,406,Chiswick,,,1,1,1,1,339,3
126221-17092019,17 Sep 2019,2019,19:02:29,19,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,TW4 6LT,TW4,1.00022E+11,21500189,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,510806,176375,510850,176350,51.47550277,-0.4058797,London,Feltham,220,Feltham,,,1,1,1,1,339,3
126290-17092019,17 Sep 2019,2019,20:31:51,20,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,TW14 8HT,TW14,1.00022E+11,21500791,E09000018,HOUNSLOW,Hounslow,E05013606,Bedfont,Bedfont,508928,174136,508950,174150,51.4557401,-0.433599833,London,Feltham,226,Feltham,526,Heston,2,3,3,1,339,1
126343-17092019,17 Sep 2019,2019,22:54:55,22,False Alarm,False alarm - Good intent,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,TW3 4LS,TW3,1.00022E+11,21500649,E09000018,HOUNSLOW,Hounslow,E05013617,Heston Central,Heston Central,512382,176361,512350,176350,51.47505983,-0.383209048,London,Heston,448,Heston,,,1,1,1,1,339,1
126374-18092019,18 Sep 2019,2019,01:33:43,1,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W4,0,21501074,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,519450,178250,,,London,Chiswick,189,Chiswick,,,1,1,1,1,339,1
126402-18092019,18 Sep 2019,2019,04:38:39,4,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,TW5 9JP,TW5,1.00022E+11,21500807,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,511729,177166,511750,177150,51.48242403,-0.392355775,London,Feltham,462,Feltham,,,1,1,1,3,1017,14
126436-18092019,18 Sep 2019,2019,06:37:37,6,False Alarm,False alarm - Good intent,,Dwelling,False Alarm - Property not found,Correct incident location,,TW8,0,21500134,E09000018,HOUNSLOW,Hounslow,E05013608,Brentford West,Brentford West,,,517450,178150,,,London,Ealing,423,Ealing,1126,Chiswick,2,2,2,1,339,1
126460-18092019,18 Sep 2019,2019,07:48:27,7,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,TW7,0,21501326,E09000018,HOUNSLOW,Hounslow,E05013625,Isleworth,Isleworth,,,515650,174650,,,London,Heston,,,,,1,1,1,1,339,2
126516-18092019,18 Sep 2019,2019,10:07:33,10,False Alarm,AFA,,Other Residential,Other Residential Home ,Within same building,TW7 4HU,TW7,10001271638,21501062,E09000018,HOUNSLOW,Hounslow,E05013621,Hounslow East,Hounslow East,514782,176126,514750,176150,51.4724655,-0.3487412,London,Heston,148,Heston,,,1,1,1,1,339,1
126518-18092019,18 Sep 2019,2019,10:09:16,10,Special Service,Special Service,Rescue or evacuation from water,Boat,Other vessel ,Open land/water - nearest gazetteer location,TW8 9EX,TW8,2.00004E+11,21501130,E09000018,HOUNSLOW,Hounslow,E05013626,Osterley & Spring Grove,Osterley & Spring Grove,516661,177852,516650,177850,51.48759704,-0.321122832,London,Heston,348,Heston,515,Ealing,3,3,3,6,2034,1
126635-18092019,18 Sep 2019,2019,14:33:17,14,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,TW14 9AG,TW14,10093767801,21519721,E09000018,HOUNSLOW,Hounslow,E05013613,Feltham North,Feltham North,509982,173621,509950,173650,51.45090389,-0.418603667,London,Feltham,343,Feltham,598,Heston,2,2,2,1,339,1
126733-18092019,18 Sep 2019,2019,17:53:46,17,Fire,Secondary Fire,,Outdoor,Heathland ,Open land/water - nearest gazetteer location,TW14 0DN,TW14,10015802447,21501041,E09000018,HOUNSLOW,Hounslow,E05013622,Hounslow Heath,Hounslow Heath,511723,174095,511750,174050,51.45483043,-0.393408359,London,Feltham,353,Feltham,,,1,1,2,1,339,4
